simulation_id,json_file,sequence,actor,text,external_id,audio_file_id
AT&T - Transition to Sales- Assessment for Work from Home Agent,data.json,1,SYM,"Being an AT&T work from home agent is not only rewarding, but also fun helping customers achieve more and realize more value from AT&T. In this simulation you have resolved a customers concern regarding their device, but then have an opportunity to transition to sales. There are 2 different transitions where we want to know what you would do. What would you say in response?",395ddae2-3498-4d71-8f2c-8cb0c9c85adc,c9741051-f05a-4859-b7a1-61adb149acfc
AT&T - Transition to Sales- Assessment for Work from Home Agent,data.json,2,TRAINEE,Thank you for calling AT&T. I hope we resolved your issue today. Is there anything else I can assist you with?,8f6eaf34-1df8-4ee4-99fa-49e118c574e8,
AT&T - Transition to Sales- Assessment for Work from Home Agent,data.json,3,SYM,"No, I just really needed to reset my data hotspot because it's my backup when the cable goes out.",2aa54811-b618-4a75-917e-d96abfdb758f,a718a85a-02b6-42cb-a42e-173a8331f74a
AT&T - Transition to Sales- Assessment for Work from Home Agent,data.json,4,SYM,OK.... stop... How would you respond here?,d776e2e4-2b95-42c4-b59c-3e4e0ec0a36b,43223070-47fc-4fc5-8e21-c005b3ff81f2
AT&T - Transition to Sales- Assessment for Work from Home Agent,data.json,5,TRAINEE,Respond here.,62539081-f4fb-41a3-9a96-dc5de8c9f6b5,
AT&T - Transition to Sales- Assessment for Work from Home Agent,data.json,6,SYM,"Thanks for the offer but I can't have my internet backup and my main internet service provider be from the same company, because I start working from home next month and need a reliable backup plan.",0ac0e340-4a09-4b79-b221-6d3ce6384b00,20409304-18e1-46eb-b29d-a7f90bae5405
AT&T - Transition to Sales- Assessment for Work from Home Agent,data.json,7,SYM,OK.... stop... How would you respond here?,e1e200a8-9d1e-4acc-8fb9-76c38e26c07e,9baa5157-0fee-4c84-89d9-1873e85829f6
AT&T - Transition to Sales- Assessment for Work from Home Agent,data.json,8,TRAINEE,Respond here.,21217242-43af-40bd-8aa6-3d5ffffef861,
AT&T - Transition to Sales- Assessment for Work from Home Agent,data.json,9,SYM,This concludes your simulation.,881de402-e2a6-46ad-89e3-26aad1957342,501dba22-54d8-4e4e-9aed-898009e2b6a3
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,1,TRAINEE,"Thank you for calling Carnival, my name is [Agent Name]. May I have your name and booking number, please?",c1ae59c7-b3bc-4434-b5e6-d41aea55e015,
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,2,SYM,"Hi. My name is Mary, and my booking number is G H 6 0 J 8.",40d8e00e-7aed-4e8f-a165-303f09182f14,2afe62a7-a498-421f-8a4f-7c82801662de
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,3,TRAINEE,"Great, Thank you. I will pull that up for you.",c170b6c1-b905-431e-8dfe-50e30a3a201f,
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,4,TRAINEE,May I have your pin number please?,c865d078-3ba8-41c3-a170-ed8cdd8ce754,
